Date,Close_M1,Volume,Open,High,Low,Close
2018-05-22,61.490002000000004,1006900,61.580002,62.200001,61.43,61.66
2018-05-23,61.66,1077400,60.880001,63.040001000000004,60.880001,62.939999
2018-05-24,62.939999,1122000,62.799999,64.470001,62.139998999999996,63.919998
2018-05-25,63.919998,707400,63.450001,63.84,62.849998,62.939999
2018-05-29,62.939999,2132200,62.310001,62.810001,60.540001000000004,62.709998999999996
2018-05-30,62.709998999999996,1319900,62.68,63.790001000000004,62.139998999999996,63.419998
2018-05-31,63.419998,1466500,63.450001,64.800003,63.040001000000004,63.790001000000004
2018-06-01,63.790001000000004,1936700,64.050003,65.43,63.259997999999996,64.010002
2018-06-04,64.010002,2181900,64.0,64.480003,62.549999,64.41999799999999
2018-06-05,64.41999799999999,1917100,64.510002,66.894997,64.510002,66.66999799999999
2018-06-06,66.66999799999999,1964200,67.099998,68.749001,66.559998,67.82
2018-06-07,67.82,2148200,68.0,68.0,62.450001,63.779999
2018-06-08,63.779999,674000,64.0,64.730003,63.009997999999996,64.279999
2018-06-11,64.279999,694300,64.540001,64.72399899999999,63.830002,64.349998
2018-06-12,64.349998,1230600,64.400002,66.290001,64.349998,66.209999
2018-06-13,66.209999,791600,66.300003,67.470001,65.521004,66.139999
2018-06-14,66.139999,966500,66.639999,67.599998,66.08000200000001,66.489998
2018-06-15,66.489998,1125500,66.279999,66.290001,65.220001,66.120003
2018-06-18,66.120003,741400,65.800003,67.629997,65.425003,66.610001
2018-06-19,66.610001,1301400,65.589996,65.589996,63.220001,65.040001
2018-06-20,65.040001,801900,65.639999,66.126999,64.940002,65.529999
2018-06-21,65.529999,934100,65.800003,65.970001,64.389999,65.589996
2018-06-22,65.589996,2128200,65.510002,65.510002,62.610001000000004,64.190002
2018-06-25,64.190002,1055900,63.549999,63.939999,61.18,62.380001
2018-06-26,62.380001,1106400,62.869999,63.59,62.400002,63.25
2018-06-27,63.25,685800,63.369999,63.529999,60.75,60.75
2018-06-28,60.75,712900,60.689999,62.459998999999996,60.389998999999996,62.119999
2018-06-29,62.119999,532100,62.419998,63.209998999999996,62.09,62.52
2018-07-02,62.52,521800,62.029999,63.52,61.66,63.349998
2018-07-03,63.349998,490200,63.369999,64.25,62.59,62.98
2018-07-05,62.98,1168300,63.02,63.869999,62.5,63.400002
2018-07-06,63.400002,591000,63.299999,65.400002,63.205002,65.230003
2018-07-09,65.230003,728300,65.739998,66.370003,63.610001000000004,64.779999
2018-07-10,64.779999,534700,64.889999,65.25,64.101997,64.699997
2018-07-11,64.699997,460500,64.010002,65.599998,64.0,65.33000200000001
2018-07-12,65.33000200000001,1439500,65.610001,68.769997,65.339996,68.260002
2018-07-13,68.260002,1170600,68.57,68.675003,67.089996,67.190002
2018-07-16,67.190002,670300,67.519997,68.400002,66.739998,66.860001
2018-07-17,66.860001,671700,66.089996,68.099998,65.150002,67.879997
2018-07-18,67.879997,589200,67.959999,68.5,67.290001,68.220001
2018-07-19,68.220001,702000,68.230003,68.980003,67.809998,67.860001
2018-07-20,67.860001,1198900,67.849998,68.660004,67.5,67.870003
2018-07-23,67.870003,1383200,67.489998,67.980003,65.511002,66.400002
2018-07-24,66.400002,926900,67.110001,67.110001,64.43,64.489998
2018-07-25,64.489998,803100,64.779999,67.120003,64.779999,67.050003
2018-07-26,67.050003,1460300,66.089996,67.769997,65.33000200000001,66.83000200000001
2018-07-27,66.83000200000001,7461900,77.93,79.82,72.5,73.839996
